,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle,year
155,Monday,15 December 2014,3.0,Moscone West,3014,0.0,Hydrology,"Coupled Hydraulic, Geochemical, and Geomechanical Processes in Carbon Storage",Oral,0.0,1.0,2014
156,Wednesday,17 December 2014,4.0,Moscone West,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Water Isotope Systematics,Poster,0.0,1.0,2014
157,Thursday,18 December 2014,3.0,Moscone South,Poster Hall,0.0,Seismology,Imaging the Earth IX Imaging Seismic Anisotropy and Attenuation + Theoretical Developments,Poster,0.0,1.0,2014
159,Friday,19 December 2014,4.0,Moscone West,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Mass and Energy Transfer Between the Solar Photosphere and Corona,Poster,0.0,1.0,2014
160,Monday,15 December 2014,3.0,Moscone West,Poster Hall,0.0,Cryosphere,"Dust, Black Carbon, and Other Aerosols in the Cryosphere",Poster,0.0,1.0,2014
161,Thursday,18 December 2014,5.0,Moscone West,3009,0.0,Ocean Sciences,"The Atlantic Meridional Overturning Circulation, Climate Variability, and Change",Oral,0.0,1.0,2014
162,Wednesday,17 December 2014,4.0,Moscone West,Poster Hall,0.0,Biogeosciences,Earth Observations for National to Global Agricultural and Rangeland Monitoring (GEOGLAM),Poster,0.0,1.0,2014
163,Tuesday,16 December 2014,6.0,Moscone South,Poster Hall,0.0,Tectonophysics,Measuring Topographic Growth through Time,Poster,0.0,1.0,2014
164,Thursday,18 December 2014,1.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Comet C/2013 A1 (Siding Spring) at Mars,Poster,0.0,1.0,2014
165,Friday,19 December 2014,4.0,Moscone West,3016,0.0,Hydrology,Complexities of Flow and Transport in Porous Media Across Diverse Disciplines,Oral,0.0,1.0,2014
166,Friday,19 December 2014,4.0,Moscone South,306,0.0,Tectonophysics,Constructing Crust from the Backarc to the Forearc in the Izu-Bonin-Mariana (IBM) and Other Arc Systems,Oral,0.0,1.0,2014
167,Thursday,18 December 2014,5.0,Moscone West,Poster Hall,0.0,Global Environmental Change,The Third Pole Environment (TPE) Under Global Changes,Poster,0.0,1.0,2014
168,Thursday,18 December 2014,1.0,Moscone West,Not an Option,0.0,Hydrology,Remote Sensing Applications for Water Resources Management,Poster,0.0,1.0,2014
169,Monday,15 December 2014,1.0,Moscone South,102,0.0,Education,Experience-Based Learning,Poster,0.0,1.0,2014
173,Wednesday,17 December 2014,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Improving Emissions Through Observations,Poster,0.0,1.0,2014
174,Tuesday,16 December 2014,2.0,Moscone West,3006,0.0,Atmospheric Sciences,Cloud Observations and Uncertainties,Oral,0.0,1.0,2014
175,Friday,19 December 2014,3.0,Moscone West,Poster Hall,0.0,Global Environmental Change,Key Challenges in Climate Adaptation,Poster,0.0,1.0,2014
176,Thursday,18 December 2014,2.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,High-Resolution Topography and Process Measurements for Analyzing Earth-Surface Dynamics,Poster,0.0,1.0,2014
178,Wednesday,17 December 2014,5.0,Moscone West,Poster Hall,0.0,Global Environmental Change,The Role of Fire in the Earth System,Poster,0.0,1.0,2014
179,Thursday,18 December 2014,4.0,Moscone South,Poster Hall,0.0,Tectonophysics,Three-Dimensional Observations and Models of Lithospheric Extension,Poster,0.0,1.0,2014
180,Thursday,18 December 2014,9.0,Moscone South,Poster Hall,0.0,Education,Bright STaRS,Poster,0.0,1.0,2014
181,Thursday,18 December 2014,3.0,Moscone South,310,0.0,"Volcanology, Geochemistry and Petrology",The Making of a Continent,Oral,0.0,1.0,2014
182,Thursday,18 December 2014,7.0,Moscone South,Poster Hall,0.0,Seismology,Science and Societal Lessons from a Decade of Giant Megathrust Earthquakes,Poster,0.0,1.0,2014
183,Friday,19 December 2014,5.0,Moscone South,Poster Hall,0.0,Seismology,Induced and Triggered Earthquakes,Poster,0.0,1.0,2014
185,Tuesday,16 December 2014,11.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,Big Data in the Geosciences,Poster,0.0,1.0,2014
186,Tuesday,16 December 2014,4.0,Moscone South,Poster Hall,0.0,Mineral and Rock Physics,Rheology of Earth's Mantle,Poster,0.0,1.0,2014
187,Wednesday,17 December 2014,1.0,Marriott Marquis,Pacific H,0.0,Education,Teaching and Career Challenges in Geoscience Pop-Ups,Oral,0.0,1.0,2014
188,Thursday,18 December 2014,2.0,Moscone West,Poster Hall,0.0,Hydrology,Streamflow Prediction from the Catchment to the Continental Scale,Poster,0.0,1.0,2014
189,Tuesday,16 December 2014,5.0,Moscone South,Poster Hall,0.0,Tectonophysics,Shallow Properties of Fault Zones,Poster,0.0,1.0,2014
190,Monday,15 December 2014,23.0,Moscone West,Not an Option,0.0,Ocean Sciences,Nearshore Processes,Poster,0.0,1.0,2014
191,Wednesday,17 December 2014,1.0,Moscone South,Poster Hall,0.0,Near Surface Geophysics,Applications of Near Surface Geophysics in Cold Regions,Poster,0.0,1.0,2014
193,Tuesday,16 December 2014,6.0,Moscone West,Poster Hall,0.0,Biogeosciences,Nitrous Oxide Emissions at Ecosystem to Global Scales,Poster,0.0,1.0,2014
194,Thursday,18 December 2014,8.0,Moscone West,Poster Hall,0.0,Biogeosciences,Cryptic Cross-Linkages Among Biogeochemical Cycles,Poster,0.0,1.0,2014
197,Wednesday,17 December 2014,8.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Improving Emissions Through Observations,Poster,0.0,1.0,2014
