,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
2978,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Regional Climate Modeling,Poster,0.0,13.0
2979,Friday,18 December 2015,6.0,Moscone West,3012,0.0,Atmospheric Sciences,Remote Sensing of CO2 and CH4 from Space,Oral,0.0,8.0
2981,Monday,14 December 2015,23.0,Moscone South,Poster Hall,0.0,Biogeosciences,Rates of Accumulation and Turnover of Terrestrial and Aquatic Carbon Pools,Poster,0.0,9.0
2983,Monday,14 December 2015,4.0,Moscone South,305,0.0,Seismology,Seismology Contributions,Poster,0.0,11.0
2984,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,"Water, Energy, and Society in Urban Systems",Poster,0.0,10.0
2985,Monday,14 December 2015,10.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,"Bow Shock, Magnetosheath, Magnetopause, and Mid-Tail Processes and Their Role in Solar Wind-Magnetosphere Coupling",Poster,0.0,9.0
2987,Friday,18 December 2015,4.0,Moscone South,307,0.0,Seismology,Infrasound from Ground to Space,Oral,0.0,8.0
2988,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,"Clouds, Precipitation, and Climate Change",Poster,0.0,12.0
2989,Thursday,17 December 2015,3.0,Moscone West,2010,0.0,Paleoceanography and Paleoclimatology,It Takes Two,Oral,1.0,17.0
2990,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Seismology,General Contributions in Seismology,Poster,0.0,11.0
2991,Monday,14 December 2015,1.0,Moscone West,3003,0.0,Global Environmental Change,Dating the Anthropocene,Oral,1.0,19.0
2992,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,Education,Bright STaRS,Poster,0.0,11.0
2993,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Mineral and Rock Physics,Fractures and Fracturing in Chemically Reactive Environments,Poster,0.0,22.0
2997,Wednesday,16 December 2015,4.0,Moscone West,2010,0.0,Biogeosciences,Analytical and Experimental Innovations in Geobiology,Oral,1.0,18.0
2998,Thursday,17 December 2015,6.0,Moscone West,2007,0.0,Planetary Sciences,Mercury after MESSENGER,Poster,0.0,11.0
3000,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,An Integrated View of Earth System Dynamics and Interhemispheric Linkages from Decadal to Tectonic Scales,Poster,0.0,7.0
3001,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Tectonophysics,Scientific Advances from Subduction Zone Observatories,Poster,0.0,18.0
3002,Thursday,17 December 2015,15.0,Moscone West,2010,0.0,Biogeosciences,Natural Wetlands and Open Waters in the Global Methane Cycle,Oral,0.0,9.0
3007,Tuesday,15 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,"Hydrocarbon Multiphase, Multiscale Flow, and Transport Characterization in Porous Media",Poster,0.0,21.0
3008,Tuesday,15 December 2015,2.0,Moscone West,2012,0.0,Paleoceanography and Paleoclimatology,Hydroclimate and Atmospheric Circulation Patterns on Multidecadal to Millennial Timescales,Oral,1.0,20.0
3009,Wednesday,16 December 2015,15.0,Moscone West,3009,0.0,Global Environmental Change,Advancing Science of the Arctic System,Oral,0.0,11.0
3010,Thursday,17 December 2015,1.0,Moscone South,306,0.0,"Volcanology, Geochemistry and Petrology",Volcano-Atmosphere Interactions,Oral,0.0,2.0
3011,Tuesday,15 December 2015,7.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,"Awareness, Access, and Management of Airborne Science Data",Poster,1.0,20.0
3012,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,Robot-Assisted Measurement of Geophysical Information,Poster,1.0,13.0
3013,Friday,18 December 2015,16.0,Moscone South,Poster Hall,0.0,SPA-Aeronomy,Enabling Scientific Discovery through Integrated Space- and Ground-Based Observations,Poster,1.0,22.0
3014,Tuesday,15 December 2015,8.0,Moscone West,2016,0.0,SPA-Aeronomy,Geospace Storms,Oral,1.0,8.0
3015,Thursday,17 December 2015,4.0,Moscone West,3022,0.0,Hydrology,Remote Sensing and Modeling of Water Resources,Oral,1.0,21.0
3016,Wednesday,16 December 2015,5.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Data Assimilation and Inverse Modeling for Atmospheric Composition Applications,Poster,0.0,17.0
3017,Wednesday,16 December 2015,1.0,Moscone West,3009,0.0,Cryosphere,Remote Sensing of the Cryosphere,Oral,0.0,10.0
3021,Friday,18 December 2015,7.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Multiproxy Records for Climatic and Oceanic Reconstructions,Poster,0.0,9.0
3022,Friday,18 December 2015,1.0,Moscone South,300,0.0,Geomagnetism and Paleomagnetism,Fundamental Mineral and Rock Magnetism,Oral,1.0,9.0
3023,Monday,14 December 2015,5.0,Moscone West,3024,0.0,Hydrology,Advances in Ecohydrology of Water-Stressed Environments,Oral,1.0,15.0
3024,Friday,18 December 2015,8.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Decoding Paleoenvironmental Proxies,Poster,0.0,24.0
3026,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,Seismology,The M7.8 25 April 2015 Nepal Earthquake,Poster,0.0,19.0
3027,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Public Affairs,General Contributions Public Affairs,Poster,0.0,3.0
3028,Monday,14 December 2015,4.0,Moscone South,300,0.0,Geomagnetism and Paleomagnetism,Reconstructing the Secular Variation of the Earth's Magnetic Field in the Past,Oral,0.0,20.0
3029,Thursday,17 December 2015,2.0,Moscone West,3009,0.0,Ocean Sciences,"US CLIVAR Session on the Global Energy Balance, Ocean Heat Content, and the Warming Hiatus",Oral,0.0,5.0
3030,Tuesday,15 December 2015,3.0,Moscone South,303,0.0,Study of Earth's Deep Interior,Slabs in Earth's Mantle,Oral,0.0,14.0
3031,Tuesday,15 December 2015,7.0,Moscone West,3008,0.0,Atmospheric Sciences,"Aerosols, Clouds, Precipitation,Â Trace Gas Chemistry, Meteorology, and Their Complex Interactions in Amazonia",Oral,1.0,24.0
3032,Tuesday,15 December 2015,1.0,Moscone West,3003,0.0,Global Environmental Change,The Third Pole Environment (TPE) under Global Changes,Oral,1.0,14.0
3033,Thursday,17 December 2015,5.0,Moscone South,303,0.0,Study of Earth's Deep Interior,State of the Earth's Core,Oral,1.0,7.0
3034,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,Ocean Sciences,Follow the Fluids,Poster,0.0,20.0
3035,Tuesday,15 December 2015,6.0,Moscone South,Poster Hall,0.0,Global Environmental Change,"Land Surface, Snow, and Soil moisture in Land-Climate Feedback and Model Diagnosis",Poster,0.0,12.0
3037,Monday,14 December 2015,4.0,Moscone West,3020,0.0,Hydrology,"Advances in Watershed Modeling of Hydrology, Sediment, and Nutrients",Oral,1.0,13.0
3038,Friday,18 December 2015,12.0,Moscone West,3002,0.0,Atmospheric Sciences,Fog,Oral,1.0,17.0
3039,Monday,14 December 2015,8.0,Moscone South,Poster Hall,0.0,Biogeosciences,Rates of Accumulation and Turnover of Terrestrial and Aquatic Carbon Pools,Poster,0.0,16.0
3040,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,"Calibration and Validation of Satellite Microwave, Infrared, and Solar Reflective Observations",Poster,0.0,8.0
3041,Wednesday,16 December 2015,9.0,Moscone South,Poster Hall,0.0,Atmospheric and Space Electricity,The Meteorology and Climatology of Lightning and General Contributions,Poster,0.0,13.0
3042,Thursday,17 December 2015,7.0,Moscone South,Poster Hall,0.0,Seismology,The M7.8 25 April 2015 Nepal Earthquake,Poster,0.0,12.0
3044,Monday,14 December 2015,11.0,Moscone West,3010,0.0,Atmospheric Sciences,Air Quality Research,Poster,0.0,12.0
3046,Tuesday,15 December 2015,1.0,Moscone South,300,0.0,Nonlinear Geophysics,"Advances in Data Assimilation, Predictability, and Uncertainty Quantification",Oral,0.0,20.0
3048,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,Biogeosciences,"Constraining Ecosystem Carbon Uptake and Long-Term Storage with Integrated Modeling, Experiment, and Observation",Poster,0.0,13.0
3049,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Cryosphere,Remote Sensing of the Cryosphere,Poster,0.0,14.0
3050,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,"Advances in Watershed Modeling of Hydrology, Sediment, and Nutrients",Poster,0.0,16.0
3051,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Styles of Volcanism,Poster,0.0,8.0
3053,Tuesday,15 December 2015,1.0,Moscone South,302,0.0,Natural Hazards,Interdisciplinary Modeling of Societal Vulnerability and Risk Reduction for Natural Hazards,Oral,0.0,7.0
3054,Tuesday,15 December 2015,7.0,Moscone West,3009,0.0,Ocean Sciences,Fluid Migration and Gas Hydrate Systems in Continental Margins,Oral,0.0,13.0
3055,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Natural Hazards,Geological Records and Modeling of Tsunamis and Storms for Natural Hazard Assessment,Poster,0.0,26.0
3056,Friday,18 December 2015,4.0,Moscone South,306,0.0,Tectonophysics,Rifts and Passive Margins,Oral,1.0,20.0
3057,Thursday,17 December 2015,2.0,Moscone West,2009,0.0,Planetary Sciences,Planetary Rings and Dust,Poster,1.0,12.0
3058,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Energy and Ecosystems,Poster,1.0,21.0
3059,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Biogeosciences,Organic Matter as an Integrated Signal of Climate and Land Use Change from Source to Sea,Poster,0.0,8.0
